%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1610117286774496369,71925,1610117286774317072,base_link,-0.493183759725,0.447096286818,2.3852667878,-0.0153474461928,-0.0338966754523,-0.0712206523916
1610117286794205302,71926,1610117286794066344,base_link,-0.484702015135,0.44044808683,2.37528069482,-0.0153819368639,-0.0334505973883,-0.0710238354132
1610117286814214211,71927,1610117286814067087,base_link,-0.486447101847,0.439371739589,2.37130537447,-0.0153804636102,-0.0334483523381,-0.070823867938
1610117286834342344,71928,1610117286834152392,base_link,-0.485096712987,0.444836395511,2.36923384732,-0.0154443715367,-0.0337160375614,-0.0702203334839
1610117286834470547,71929,1610117286834315231,base_link,-0.480911464943,0.44975287291,2.37914875472,-0.015336884954,-0.0338807069042,-0.0696192183402
1610117286854279471,71930,1610117286854135205,base_link,-0.470968268759,0.472085312492,2.3828061054,-0.0154366111208,-0.0337090724306,-0.0694203324753
1610117286874319123,71931,1610117286874175465,base_link,-0.470558077688,0.479400778774,2.39272176807,-0.0153003545145,-0.0343285773269,-0.0696143706245
1610117286894407332,71932,1610117286894152125,base_link,-0.487726992996,0.480727430699,2.38885207412,-0.0154403631712,-0.0348776609129,-0.0698072662828
1610117286894559450,71933,1610117286894331101,base_link,-0.496297597763,0.463892486986,2.38710418929,-0.0152689809544,-0.0347746245901,-0.0698096857461
1610117286914237946,71934,1610117286914086672,base_link,-0.50934240002,0.446688108865,2.38339299934,-0.0149974093762,-0.034847413788,-0.0702108764428
1610117286934306888,71935,1610117286934173187,base_link,-0.534030652492,0.429492672811,2.37975219242,-0.0150351287452,-0.0355748286132,-0.0708028118948
1610117286954249295,71936,1610117286954102291,base_link,-0.528016355357,0.442306219272,2.35956239572,-0.0156187314692,-0.0349922648961,-0.0708050698978
1610117286974981038,71937,1610117286974739866,base_link,-0.507815921128,0.447422302205,2.35535630603,-0.0155836473847,-0.0342697729938,-0.0706134400648
1610117286995411448,71938,1610117286994759680,base_link,-0.505064648656,0.446747873193,2.35534401884,-0.0154123776682,-0.0341677300441,-0.0708168375678
1610117286995416667,71939,1610117286994871453,base_link,-0.492716922859,0.461186289679,2.35709187353,-0.0156839625644,-0.0340949331751,-0.0704156572785
1610117287014232436,71940,1610117287014094137,base_link,-0.475303330825,0.466918226986,2.3468990849,-0.0155428970307,-0.0335393496856,-0.0698228628584
1610117287034289989,71941,1610117287034140573,base_link,-0.474839965141,0.462659668325,2.36696070156,-0.0151681451475,-0.0337802313344,-0.0698210258316
1610117287054460619,71942,1610117287054265174,base_link,-0.471352292053,0.464810860613,2.37491150169,-0.0151725738128,-0.0337869721734,-0.0704209758158
1610117287074335355,71943,1610117287074176491,base_link,-0.45391836849,0.470572840245,2.36672173939,-0.0152102367204,-0.0333447315769,-0.07082610884
1610117287074425717,71944,1610117287074299195,base_link,-0.444019421004,0.457800728791,2.35879134147,-0.0149386705244,-0.0334175230888,-0.0712273027601
1610117287094385143,71945,1610117287094186857,base_link,-0.430281839766,0.454406447852,2.3607282977,-0.0149416219766,-0.0334220126765,-0.0716272853679
1610117287114206890,71946,1610117287114065654,base_link,-0.433754758612,0.452277833177,2.35477732886,-0.0148732089382,-0.0331475434491,-0.0716308709524
1610117287134179743,71947,1610117287134054032,base_link,-0.438933157372,0.449140944955,2.35284002514,-0.0146969278173,-0.0330417972976,-0.0712330714362
1610117287155541202,71948,1610117287154723265,base_link,-0.455356579349,0.453310113785,2.35891470915,-0.0147637594557,-0.0333139931694,-0.0710294684989
1610117287155563521,71949,1610117287154941757,base_link,-0.46872897205,0.463952995806,2.3608938878,-0.0148682940421,-0.0331448601738,-0.0712306500789
1610117287174264459,71950,1610117287174097197,base_link,-0.478591646794,0.465078591666,2.36695324337,-0.0147026990931,-0.0330439187806,-0.0714320732498
1610117287194154673,71951,1610117287194037309,base_link,-0.474524165324,0.469815064828,2.36086937514,-0.0146695415293,-0.0334920471966,-0.0716273243965
1610117287214310786,71952,1610117287214093105,base_link,-0.471473503705,0.476303576736,2.35879959675,-0.0149068936935,-0.0338677285768,-0.0718238262357
1610117287234243691,71953,1610117287234098553,base_link,-0.457482103885,0.479970880365,2.34861836915,-0.0153509921522,-0.0339024929038,-0.0714184488169
1610117287234336366,71954,1610117287234189783,base_link,-0.447925097721,0.483341303748,2.34250959225,-0.0158637554133,-0.0342093877391,-0.0712111689747
1610117287254910817,71955,1610117287254498956,base_link,-0.454507499542,0.47464776419,2.3326549404,-0.0159292270129,-0.0344793549839,-0.070807594115
1610117287274205940,71956,1610117287274044786,base_link,-0.452383068192,0.459644475369,2.33884189449,-0.0159280101168,-0.0344708916484,-0.0704083892835
1610117287294399467,71957,1610117287294169301,base_link,-0.46952407049,0.449340289648,2.33908402349,-0.0157204283313,-0.0348114492399,-0.070206054201
1610117287294412070,71958,1610117287294277911,base_link,-0.481124339179,0.449421284956,2.34716952485,-0.0154474601986,-0.0348820726196,-0.070407282626
1610117287314293001,71959,1610117287314139447,base_link,-0.492799643006,0.449376271148,2.34718924025,-0.0151693856839,-0.0349595698753,-0.0706079224988
1610117287334161481,71960,1610117287334041347,base_link,-0.474184214878,0.441983214934,2.35913753482,-0.0148627419911,-0.0343098781603,-0.0708175453414
1610117287354683062,71961,1610117287354434474,base_link,-0.47213581892,0.450213877761,2.35705476935,-0.0147290350428,-0.0337583430562,-0.0708246861179
1610117287374400482,71962,1610117287374140936,base_link,-0.455662503266,0.457796597007,2.35884854581,-0.0149669260809,-0.0329652171823,-0.0704318582522
1610117287394325589,71963,1610117287394152821,base_link,-0.472128354053,0.461897739486,2.35694124709,-0.0151052718879,-0.0335164144001,-0.0710272993818
1610117287394421034,71964,1610117287394300330,base_link,-0.488206861889,0.4499256732,2.36119317507,-0.0148308271941,-0.0335847993669,-0.0710285430408
1610117287414360817,71965,1610117287414201904,base_link,-0.510209160264,0.455324181493,2.35529291603,-0.0150361255498,-0.0344069393656,-0.070816803477
1610117287434330432,71966,1610117287434172957,base_link,-0.52116123748,0.44642197554,2.35747330419,-0.0151088724549,-0.0346880819294,-0.0714131759996
1610117287454318458,71967,1610117287454175111,base_link,-0.528046165772,0.430600103331,2.35573138072,-0.0148044946561,-0.0352054455091,-0.0718089927137
1610117287474383938,71968,1610117287474151457,base_link,-0.515356007766,0.428894691101,2.35565677191,-0.01500617693,-0.0348559327211,-0.0712113590576
1610117287474465991,71969,1610117287474306531,base_link,-0.498188331843,0.439242505044,2.35941458292,-0.0153109215346,-0.0343350123698,-0.0706148837568
1610117287494326492,71970,1610117287494182311,base_link,-0.488455930971,0.45454804611,2.37715121235,-0.0155122243984,-0.0339889144015,-0.0702177679987
1610117287514671506,71971,1610117287514528960,base_link,-0.487857715341,0.468840425968,2.36698570312,-0.016056777009,-0.0338455032599,-0.0696153149139
1610117287534317966,71972,1610117287534181877,base_link,-0.484443352309,0.482543625722,2.36281566209,-0.0163651532357,-0.0333268408353,-0.0694196779019
1610117287554697074,71973,1610117287554403688,base_link,-0.484011629254,0.466536620516,2.37299244797,-0.0156448068781,-0.0333605324738,-0.0694245908657
1610117287554805830,71974,1610117287554521583,base_link,-0.485685349345,0.453891361734,2.37714642265,-0.0151656586782,-0.033773918402,-0.0696234895068
1610117287574355575,71975,1610117287574159332,base_link,-0.485414716554,0.449329238215,2.37117791914,-0.0147910320439,-0.0340207399824,-0.0698208424967
1610117287594251291,71976,1610117287594112455,base_link,-0.488053648178,0.438503183256,2.38533578872,-0.0144094252883,-0.0342556148911,-0.0696226624769
1610117287614269692,71977,1610117287614136572,base_link,-0.50336077427,0.429408864956,2.40155178115,-0.0141002381542,-0.0347698096061,-0.0696191772728
1610117287634249331,71978,1610117287634094779,base_link,-0.501589930704,0.442193245902,2.40740019046,-0.0143757626326,-0.0347013229588,-0.0698193296812
